title,popularity,vote_average,vote_count,genre
The Godfather,114.8,8.7,17855,Drama
The Shawshank Redemption,90.9,8.7,23711,Drama
The Godfather Part II,54.9,8.6,10801,Drama
Schindler's List,55.7,8.6,14026,Drama
Dilwale Dulhania Le Jayenge,23.1,8.6,4120,Comedy
Spirited Away,93.2,8.5,14243,Animation
12 Angry Men,36.7,8.5,7238,Drama
Your Name.,163.3,8.5,9773,Romance
Parasite,66.9,8.5,15671,Comedy
The Dark Knight,85.5,8.5,29631,Drama
The Green Mile,70.7,8.5,15355,Fantasy
Pulp Fiction,67.3,8.5,25100,Thriller
"The Good, the Bad and the Ugly",54.1,8.5,7362,Western
Forrest Gump,58.1,8.5,24582,Comedy
The Lord of the Rings: The Return of the King,68.1,8.5,21536,Adventure
GoodFellas,44.3,8.5,11221,Drama
Seven Samurai,26.7,8.5,3030,Action
Gabriel's Inferno,15.0,8.5,2339,Romance
Cinema Paradiso,20.4,8.5,3733,Drama
Life Is Beautiful,48.2,8.5,11860,Comedy
Grave of the Fireflies,0.6,8.4,4621,Animation
Once Upon a Time in America,35.2,8.4,4644,Drama
Psycho,42.3,8.4,8933,Horror
Gabriel's Inferno: Part II,104.7,8.4,1469,Romance
Fight Club,67.1,8.4,26347,Drama
City of God,28.0,8.4,6442,Drama
One Flew Over the Cuckoo's Nest,28.4,8.4,9346,Drama
Gabriel's Inferno: Part III,60.1,8.4,1015,Romance
Spider-Man: Into the Spider-Verse,100.4,8.4,12679,Action
Howl's Moving Castle,85.2,8.4,8249,Fantasy
Interstellar,127.6,8.4,31288,Adventure
A Silent Voice: The Movie,55.0,8.4,3372,Animation
The Lord of the Rings: The Fellowship of the Ring,79.3,8.4,22625,Adventure
The Empire Strikes Back,37.3,8.4,15305,Adventure
The Pianist,37.3,8.4,8031,Drama
The Lord of the Rings: The Two Towers,63.5,8.4,19669,Adventure
Whiplash,56.1,8.4,13409,Drama
Neon Genesis Evangelion: The End of Evangelion,34.8,8.4,1279,Animation
Se7en,43.8,8.4,18711,Crime
Inception,77.1,8.4,33628,Action
Sunset Boulevard,16.7,8.4,2207,Drama
Rear Window,21.2,8.4,5669,Thriller
American History X,29.8,8.4,10365,Drama
The Silence of the Lambs,9.8,8.3,14474,Crime
The Great Dictator,17.6,8.3,2914,Comedy
Princess Mononoke,39.7,8.3,6937,Adventure
City Lights,13.8,8.3,1856,Comedy
Léon: The Professional,40.3,8.3,13198,Crime
Dead Poets Society,27.4,8.3,9934,Drama
Back to the Future,65.0,8.3,17877,Adventure
Modern Times,16.4,8.3,3261,Comedy
Five Feet Apart,50.2,8.3,5122,Romance
Come and See,25.0,8.3,1134,Drama
Once Upon a Time in the West,22.6,8.3,3753,Drama
Life in a Year,65.4,8.3,1408,Drama
Puss in Boots: The Last Wish,1388.6,8.3,5446,Animation
Top Gun: Maverick,328.8,8.3,6756,Action
Perfect Blue,44.3,8.3,2018,Animation
Apocalypse Now,31.2,8.3,7196,Drama
The Legend of 1900,22.0,8.3,2018,Drama
